time,phase,used,anon,shmem,cached,swap,splitx-control-plane:anon,splitx-control-plane:file,splitx-control-plane:shmem,splitx-worker:anon,splitx-worker:file,splitx-worker:shmem,splitx-worker2:anon,splitx-worker2:file,splitx-worker2:shmem
2026-09-25T04:34:25.173Z,before the cluster,1028,349,48,4142,0,,,,,,,,,
2026-09-25T04:34:35.246Z,k8s:up,1170,357,49,5606,0,,,,,,,,,
2026-09-25T04:34:45.397Z,k8s:up,1468,594,74,6853,0,155,277,9,23,8,8,23,8,8
2026-09-25T04:34:55.515Z,k8s:up,1751,845,74,6857,0,362,281,9,33,8,8,33,8,8
2026-09-25T04:35:05.692Z,k8s:up,1893,1009,76,7386,0,429,459,9,96,187,8,95,187,8
2026-09-25T04:35:15.843Z,k8s:up,2041,1168,76,7537,0,484,610,10,96,187,8,92,187,8
2026-09-25T04:35:26.003Z,k8s:up,2441,1412,76,7611,0,747,631,10,101,187,8,104,223,9
2026-09-25T04:35:36.302Z,k8s:up,2665,1635,77,8262,0,798,662,10,198,362,9,194,733,9
2026-09-25T04:35:46.554Z,k8s:up,2875,1762,78,9859,0,805,663,10,234,794,9,277,1883,9
2026-09-25T04:35:56.710Z,k8s:up,3251,2132,78,9719,0,809,663,10,313,740,10,573,1762,9
2026-09-25T04:36:06.875Z,k8s:up,3441,2307,78,9707,0,935,670,10,385,741,10,578,1741,9
2026-09-25T04:36:17.000Z,k8s:up,3472,2354,78,10089,0,960,988,10,391,741,10,600,1807,9
2026-09-25T04:36:27.128Z,k8s:up,3527,2431,79,10090,0,1008,989,11,414,741,10,603,1807,9
2026-09-25T04:36:37.255Z,k8s:up,3530,2428,79,10172,0,993,991,11,424,741,10,606,1886,9
2026-09-25T04:36:47.376Z,k8s:up,3531,2400,79,10172,0,969,991,11,419,741,10,607,1886,9
2026-09-25T04:36:57.521Z,k8s:up,3587,2483,79,10172,0,971,991,11,438,742,10,609,1886,9
2026-09-25T04:37:07.649Z,k8s:up,3619,2480,79,10313,0,973,992,11,438,742,10,651,2027,9
2026-09-25T04:37:17.794Z,k8s:up,3642,2491,79,10313,0,979,992,11,447,742,10,655,2027,9
2026-09-25T04:37:27.915Z,k8s:up,3660,2516,80,10313,0,978,992,11,458,742,10,660,2027,9
2026-09-25T04:37:38.047Z,k8s:up,3686,2523,80,10313,0,981,992,11,462,742,10,660,2027,9
2026-09-25T04:37:48.186Z,k8s:up,3705,2526,80,10315,0,977,993,11,464,742,10,670,2028,9
2026-09-25T04:37:58.316Z,k8s:up,3829,2611,80,11011,0,981,993,11,475,743,10,725,2727,10
2026-09-25T04:38:08.438Z,k8s:up,3811,2620,80,11011,0,985,993,11,474,743,10,730,2727,10
2026-09-25T04:38:18.766Z,k8s:up,4151,2958,80,10944,0,1255,1003,11,489,743,10,743,2692,10
2026-09-25T04:38:28.903Z,k8s:up,4363,3101,81,10682,0,1230,998,11,509,848,10,876,2906,10
2026-09-25T04:38:39.034Z,k8s:up,4384,3093,81,10684,0,1233,998,11,496,848,10,876,2908,10
2026-09-25T04:38:49.193Z,k8s:up,4459,3152,81,10622,0,1214,998,11,559,983,10,871,2872,10
2026-09-25T04:38:59.338Z,k8s:up,4462,3135,81,10595,0,1257,999,11,574,983,10,895,3010,10
2026-09-25T04:39:09.497Z,k8s:up,4424,3134,81,10591,0,1255,978,11,581,965,10,888,3595,10
2026-09-25T04:39:19.673Z,k8s:up,4499,3132,81,10278,0,1250,971,11,581,946,10,898,3438,10
2026-09-25T04:39:29.826Z,k8s:up,4823,3501,81,10215,0,1243,959,11,567,931,10,1256,3539,10
2026-09-25T04:39:40.219Z,k8s:up,5161,3843,81,9546,0,1293,979,11,602,931,10,1513,3196,10
